"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
BORDERLANDS 2 ULTIMATE EDITION,PS3,91,82,Action,Up to 4 
BORDERLANDS GAME OF THE YEAR EDITION,PS3,83,78,Action,Up to 4 
BORDERLANDS: THE PRE-SEQUEL ULTIMATE EDITION,PS3,77,63,Action,Up to 4 
BRAID,PS3,93,77,Action,1 Player
BRINK,PS3,72,58,Action,Up to 16 
CARMAGEDDON: MAX DAMAGE,PS4,51,57,Racing,Up to 6 
CASTLE INVASION: THRONE OUT,PS4,-1,-1,Strategy,
CASTLESTORM DEFINITIVE EDITION,PS4,74,61,Strategy,2 
CHESS ULTRA,PS4,-1,60,Miscellaneous,Up to 6 
CHRONICLES OF TEDDY: HARMONY OF EXIDUS,PS4,79,69,Role-Playing,
CITIES: SKYLINES,PS4,81,74,Strategy,No Online Multiplayer
CLOCKWORK TALES: OF GLASS AND INK,PS4,-1,54,Puzzle,
CLOUDS & SHEEP 2,PS4,-1,-1,Simulation,No Online Multiplayer
CONTROL,PS4,82,73,Action Adventure,No Online Multiplayer
COSTUME QUEST 2,PS4,74,67,Role-Playing,
COUNTERSPY,PS4,67,67,Action,
CRIMSONLAND,PS4,64,62,Action,
CROIXLEUR SIGMA,PS4,71,65,Action,No Online Multiplayer
CAPCOM ARCADE CABINET,PS3,69,50,Miscellaneous,
CARS MATER-NATIONAL,PS3,63,65,Driving,No Online Multiplayer
CARS RACE-O-RAMA,PS3,61,68,Driving,
CASTLEVANIA: HARMONY OF DISPAIR,PS3,68,73,Action Adventure,Up to 6 
CASTLEVANIA LORDS OF SHADOW,PS3,85,81,Action Adventure,No Online Multiplayer
CASTLEVANIA: LORDS OF SHADOW 2,PS3,63,78,Fantasy,No Online Multiplayer
CASTLEVANIA: LORDS OF SHADOW - MIRROR OF FATE HD,PS3,70,72,Action Adventure,1 Player
CATHERINE,PS3,79,82,Action Adventure,No Online Multiplayer
CEL DAMAGE HD,PS3,-1,43,Simulation,
CHAMPION JOCKEY: G1 JOCKEY & GALLOP RACER,PS3,48,-1,Sports,Up to 4 
CRASH COMMANDO,PS3,78,80,Action,12  Online
CRAZY TAXI,PS3,60,73,Driving,
CRITTER CRUNCH,PS3,87,74,Miscellaneous,2 
CUBOID,PS3,79,76,Miscellaneous,1 Player
DANDARA,PS4,-1,67,Action,No Online Multiplayer
DANGEROUS GOLF,PS4,56,49,Sports,Up to 8 
DANGER ZONE,PS4,64,65,Racing,No Online Multiplayer
DARK ARCANA: THE CARNIVAL,PS4,-1,-1,Puzzle,No Online Multiplayer
DARK CLOUD,PS2,80,79,Role-Playing,1 Player
DARKSIDERS 2 DEATHINITIVE EDITION,PS4,72,73,Action Adventure,No Online Multiplayer
DARKSIDERS: WARMASTERED EDITION,PS4,81,76,Action Adventure,
DAY OF THE TENTACLE REMASTERED,PS4,84,73,Adventure,
DEAD ISLAND DEFINITIVE EDITION,PS4,63,63,Miscellaneous,Up to 4 
DEAD ISLAND RETRO REVENGE,PS4,65,64,Action,
DEAD NATION: APOCALYPSE EDITION,PS4,74,71,Action,
DEADLIGHT DIRECTOR'S CUT,PS4,70,67,Action,
DE BLOB,PS4,65,-1,Action,No Online Multiplayer
DESERT CHILD,PS4,58,74,Racing,Online Multiplayer
DESTROY ALL HUMANS!,PS2,74,81,Action Adventure,1 Player
DEFENSE GRID 2,PS4,77,70,Strategy,2 
DIRT 4,PS4,85,75,Racing,Up to 8 
DIRT RALLY,PS4,85,79,Racing,Up to 8 
DISGAEA 5: ALLIANCE OF VENGEANCE,PS4,80,82,Fantasy,No Online Multiplayer
DISHONORED 2,PS4,88,79,Action Adventure,No Online Multiplayer
DOKI-DOKI UNIVERSE,PS4,71,63,General,
DON'T DIE MR. ROBOT!,PS4,71,46,Action,
DOOM,PS4,85,84,Sci-Fi,Up to 12 
DUNGEONS 2,PS4,61,68,Strategy,Up to 4 
