"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
NUMBLAST,PS3,-1,-1,Miscellaneous,
OBLITERACERS,PS4,70,-1,Racing,Up to 16 
OKAGE: SHADOW KING,PS2,70,80,Role-Playing,1 Player
OLLIOLLI,PS4,-1,66,Sports,
OLLIOLLI2: WELCOME TO OLLIWOOD,PS4,86,65,Sports,
OMEGA_QUINTET,PS4,58,71,Console-style RPG,No Online Multiplayer
OVERCOOKED! 2,PS4,81,81,Action,Up to 4 
OVERLORD: FELLOWSHIP OF EVIL,PS4,33,25,Role-Playing,Up to 4 
ODDWORLD: STRANGER'S WRATH HD,PS3,82,86,Action Adventure,
OF ORCS AND MEN,PS3,57,63,Role-Playing,No Online Multiplayer
OPERATION FLASHPOINT: DRAGON RISING,PS3,76,65,Action,Up to 8 
OPERATION FLASHPOINT: RED RIVER,PS3,67,66,Action,Up to 4 
ORDER UP!!,PS3,55,48,Action,
OVERLORD II,PS3,72,77,Action Adventure,2 
OVERLORD RAISING HELL,PS3,72,78,Action Adventure,1 Player
PAC-MAN CHAMPIONSHIP EDITION 2,PS4,77,80,Action,
PANG ADVENTURES,PS4,63,54,Action,
PAYDAY 2: CRIMEWAVE EDITION,PS4,71,42,Action,Up to 4 
PHARAONIC,PS4,-1,60,Role-Playing,
PILLARS OF ETERNITY: COMPLETE EDITION,PS4,85,73,Role-Playing,No Online Multiplayer
PIX THE CAT,PS4,80,60,Action,
PIXEL HEROES: BYTE & MAGIC,PS4,54,-1,Role-Playing,
PIXEL PIRACY,PS4,50,24,Strategy,
PIXELJUNK SHOOTER ULTIMATE,PS4,82,72,Action,
PLAGUE ROAD,PS4,-1,49,Role-Playing,
PONCHO,PS4,63,36,Action,
PREY,PS4,79,78,General,No Online Multiplayer
PRIMAL,PS2,73,86,Action Adventure,1 Player
PLAYERUNKNOWN'S BATTLEGROUNDS,PS4,72,34,Action,Up to more than 64 
PUMPED BMX +,PS4,-1,48,Racing,
PURE HOLD'EM WORLD POKER CHAMPIONSHIP,PS4,73,39,Miscellaneous,Up to 8 
PURE POOL,PS4,75,70,Alternative,2 
PAINKILLER HELL & DAMNATION,PS3,40,69,Action,Up to 8 
PAPO & YO,PS3,72,79,Adventure,
PHINEAS AND FERB ACROSS THE 2ND DIMENSION,PS3,63,72,Action,1-2 
PID,PS3,70,80,Action,
PIRATES OF THE CARIBBEAN: AT WORLD'S END,PS3,55,71,Action Adventure,1-2 
PIXELJUNK EDEN FULLY GROWN EDITION,PS3,80,78,Action,1-3 
PIXELJUNK MONSTERS BIG BITE EDITION,PS3,83,82,Strategy,2  Online
PIXELJUNK RACERS 2ND LAP,PS3,66,41,Driving,
PIXELJUNK SHOOTER,PS3,87,81,Action,
PIXELJUNK SHOOTER 2,PS3,82,76,Action,
PIXELJUNK SIDESCROLLER,PS3,76,70,Action,
PIYOTAMA,PS3,70,68,Miscellaneous,1-2 
PLANET MINIGOLF,PS3,66,80,Sports,
PLANETS UNDER ATTACK,PS3,-1,-1,Strategy,
POOL NATION,PS3,81,77,Sports,Up to 8 
PORT ROYALE 3,PS3,-1,74,Strategy,No Online Multiplayer
PROTEUS,PS3,72,49,Adventure,1 Player
PUPPETEER,PS3,80,84,Action,No Online Multiplayer
PUZZLE AGENT,PS3,66,50,Miscellaneous,
Q*BERT REBOOTED,PS4,44,49,Action,
QUANTUM THEORY,PS3,43,50,Action,10  Online
RAD RODGERS,PS4,66,54,Action,No Online Multiplayer
RAIDEN V: DIRECTOR'S CUT,PS4,73,69,Action,
RAINBOW MOON,PS4,70,64,Strategy,
RAPALA FISHING: PRO SERIES,PS4,-1,-1,Sports,
REAL FARM,PS4,-1,36,Simulation,
REBEL GALAXY,PS4,64,68,Action,
RED FACTION,PS2,88,80,Action,1-2 
RED FACTION II,PS2,84,76,Action,1-4 
RED FACTION GUERRILLA RE-MARS-TERED,PS4,70,49,Action,Up to 16 
RESOGUN,PS4,84,77,Shooter,
REUS,PS4,75,45,Strategy,
RIDE 3,PS4,71,63,Racing,Up to 12 
RISEN 3: TITAN LORDS - ENHANCED EDITION,PS4,51,52,Role-Playing,
RIVE,PS4,75,72,Action,
ROCKET LEAGUE,PS4,85,85,Racing,Up to 8 
ROGUE GALAXY,PS2,83,79,Role-Playing,1 Player
ROGUE STORMERS,PS4,69,48,Action,Up to 4 
ROMANCE OF THE THREE KINGDOMS 13,PS4,67,71,Strategy,No Online Multiplayer
RAG DOLL KUNG FU: FISTS OF PLASTIC,PS3,68,72,Action,4  Online
RAGE,PS3,81,63,Action,Up to 4 
RAGNAROK ODYSSEY ACE,PS3,61,66,Role-Playing,Up to 4 
RAIDEN IV: OVERKILL,PS3,-1,70,Action,
RAIN,PS3,72,78,Miscellaneous,No Online Multiplayer
RATATOUILLE,PS3,55,56,Action,No Online Multiplayer
RATCHET & CLANK ALL 4 ONE,PS3,70,65,Action,Up to 4 
RATCHET & CLANK NEXUS,PS3,76,83,Action,1 Player
RATCHET & CLANK Q-FORCE,PS3,64,73,Action,
RATCHET & CLANK: A CRACK IN TIME,PS3,87,88,Action,No Online Multiplayer
RATCHET & CLANK:QUEST FOR BOOTY,PS3,76,73,Action,1 Player
REALMS OF ANCIENT WAR,PS3,-1,64,Action Adventure,
RED DEAD REDEMPTION,PS3,95,89,Action,Up to 16 
RED DEAD REDEMPTION: UNDEAD NIGHTMARE,PS3,-1,79,Miscellaneous,Up to 16 
RED FACTION: GUERRILLA,PS3,85,80,Action,Up to 16 
RED JOHNSON'S CHRONICLES,PS3,67,52,Miscellaneous,
RED JOHNSON'S CHRONICLES - ONE AGAINST ALL,PS3,56,-1,Miscellaneous,
RENEGADE OPS,PS3,80,73,Action,
RESIDENT EVIL CODE:VERONICA X,PS3,65,82,Action Adventure,No Online Multiplayer
RESIDENT EVIL OPERATION RACCOON CITY,PS3,52,50,Shooter,Up to 8 
RESIDENT EVIL REVELATIONS,PS3,74,75,Action Adventure,2 
RESIDENT EVIL REVELATIONS 2,PS3,-1,77,Horror,
RESIDENT EVIL UMBRELLA CHRONICLES,PS3,-1,75,Action,2 
RESIDENT EVIL: THE DARKSIDE CHRONICLES,PS3,-1,81,Action,1-2 
RESISTANCE 3,PS3,83,78,Action,Up to 16 
RETRO CITY RAMPAGE DX,PS3,-1,80,Action Adventure,
RETRO/GRADE,PS3,78,70,Action,1 Player
RICOCHET HD,PS3,-1,-1,Action,No Online Multiplayer
RIDE,PS3,-1,66,Driving,Up to 8 
RIFF: EVERYDAY SHOOTER,PS3,83,73,Action,1 Player
RISE OF THE ARGONAUTS,PS3,57,73,Role-Playing,1 Player
ROCKETBIRDS: HARDBOILED CHICKEN,PS3,74,57,Action,
ROTASTIC,PS3,-1,-1,Miscellaneous,
R-TYPE DIMENSIONS,PS3,82,60,Action,
RUNNER 2: A FLAT OUT RUN OF THE RHYTHM ALIEN,PS3,86,80,Action,
SAINTS ROW GAT OUT OF HELL,PS4,64,57,Action Adventure,2 
SAINTS ROW IV RE-ELECTED,PS4,75,73,Action Adventure,2 
SEASONS AFTER FALL,PS4,64,62,Action,
SÉBASTIEN LOEB RALLY EVO,PS4,71,74,Racing,Up to 16 
SHADOW COMPLEX REMASTERED,PS4,80,70,Action,
SHADOW OF THE BEAST,PS4,64,73,Sci-Fi,No Online Multiplayer
SHADOW OF THE TOMB RAIDER,PS4,75,73,Action Adventure,2 
SHADWEN,PS4,51,59,Action Adventure,
SHERLOCK HOLMES - CRIMES AND PUNISHMENTS,PS4,73,72,Adventure,
SHERLOCK HOLMES: THE DEVIL'S DAUGHTER,PS4,71,71,Adventure,
SHINESS: THE LIGHTNING KINGDOM,PS4,67,67,Role-Playing,
SINE MORA EX,PS4,81,72,Action,
SKYSCRAPPERS,PS4,-1,68,Action,
SLIME-SAN: SUPERSLIME EDITION,PS4,81,65,Action Adventure,No Online Multiplayer
SNIPER ELITE 3 ULTIMATE EDITION,PS4,67,69,Shooter,Up to 12 
SNIPER ELITE 4,PS4,77,68,Action,Up to 12 
SOMA,PS4,79,81,Horror,
SOUL AXIOM,PS4,47,48,Adventure,
SOUND SHAPES,PS4,84,70,Action,
SPARKLE 2,PS4,66,60,Action,
SPARKLE UNLEASHED,PS4,-1,-1,Puzzle,
SQUARE HEROES,PS4,-1,-1,Action,Up to 6 
STARDUST GALAXY WARRIORS: STELLAR CLIMAX,PS4,-1,-1,Action,
STAR WARS® BOUNTY HUNTER™,PS2,65,81,Action,1 Player
STAR WARS® JEDI STARFIGHTER™,PS2,81,83,Simulation,1-2 
STAR WARS® RACER REVENGE™,PS2,73,81,Driving,1-2 
STEALTH INC 2: A GAME OF CLONES,PS4,74,70,Action,
STEALTH INC ULTIMATE EDITION,PS4,-1,63,Action,
STEEP,PS4,71,64,Sports,Up to 4 
STEREDENN: BINARY STARS,PS4,-1,-1,Action,
STICK IT TO THE MAN,PS4,75,67,Action,
STIKBOLD! A DODGEBALL ADVENTURE,PS4,75,71,Action,
STRIDER,PS4,77,71,Fantasy,
STRIKE SUIT ZERO: DIRECTOR'S CUT,PS4,68,64,Action,
STYX: MASTER OF SHADOWS,PS4,70,65,Sci-Fi,
STYX: SHARDS OF DARKNESS,PS4,72,71,Action Adventure,2 
SUPER EXPLODING ZOO!,PS4,69,49,Miscellaneous,2 
SUPER MEGA BASEBALL,PS4,85,72,Traditional,
SUPER STAR WARS,PS4,-1,61,Action,
SUPER STARDUST ULTRA,PS4,74,71,Action,
SUPER TOY CARS,PS4,-1,58,Racing,
SURGEON SIMULATOR: ANNIVERSARY EDITION,PS4,56,50,Simulation,
SACRED CITADEL,PS3,62,69,Action,
SAINTS ROW 2,PS3,82,80,Action Adventure,Up to 12 
SAM & MAX BTS: EPISODE 1 - ICE STATION SANTA,PS3,-1,-1,Miscellaneous,
SAM & MAX BTS: EPISODE 2 - MOAI BETTER BLUES,PS3,-1,-1,Miscellaneous,
SAM & MAX BTS: EPISODE 3 - NIGHT OF THE RAVING DEAD,PS3,-1,-1,Miscellaneous,
SAM & MAX BTS: EPISODE 4 - CHARIOTS OF THE DOGS,PS3,-1,-1,Miscellaneous,
SAM & MAX BTS: EPISODE 5 - WHAT'S NEW BEELZEBUB?,PS3,-1,-1,Miscellaneous,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 1,PS3,81,71,Miscellaneous,1 Player
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 2,PS3,85,78,Miscellaneous,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 3,PS3,73,77,Miscellaneous,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 4,PS3,-1,73,Miscellaneous,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 5,PS3,80,81,Miscellaneous,
SAMURAI WARRIORS 4,PS3,-1,80,Action,2 
SAVAGE MOON,PS3,73,79,Strategy,1 Player
SHADOW OF THE COLOSSUS,PS2,91,91,Action Adventure,1 Player
SHATTER,PS3,86,76,Action,
SID MEIER'S CIVILIZATION REVOLUTION,PS3,85,80,Strategy,Up to 4 
SILENT HILL HD COLLECTION,PS3,70,48,Miscellaneous,No Online Multiplayer
SIREN BLOOD CURSE,PS3,78,80,Action Adventure,1 Player
SKULLGIRLS ENCORE,PS3,-1,60,Action,2 
SKY FIGHTER,PS3,73,80,Action,
SKYDIVE: PROXIMITY FLIGHT,PS3,62,-1,Sports,
SLY COOPER: THIEVES IN TIME,PS3,75,83,Action,1 Player
SMASH CARS,PS3,61,63,Simulation,Up to 6 
SNAKEBALL,PS3,65,50,Puzzle,1-8 
SNIPER ELITE V2,PS3,70,67,Action,2 
SNIPER GHOST WARRIOR 2,PS3,52,60,Action,Up to 12 
SNIPER: GHOST WARRIOR,PS3,53,61,Action,
SOLDNER-X 2: FINAL PROTOTYPE,PS3,77,77,Action,
SOLDNER-X: HIMMELSSTURMER,PS3,63,65,Action,
SONIC ADVENTURE,PS3,50,73,Action,
SONIC ADVENTURE 2,PS3,65,80,Action,
SONIC CD,PS3,80,83,Action,
SONIC GENERATIONS,PS3,76,83,Action,1 Player
SONIC THE FIGHTERS,PS3,-1,56,Action,
SONIC THE HEDGEHOG 4 EPISODE II,PS3,63,66,Action,2 
SONIC THE HEDGEHOG 4: EPISODE 1,PS3,74,61,Action,
SONIC UNLEASHED,PS3,54,80,Action,1 Player
SPACE ACE,PS3,-1,-1,Action,1 Player
SPEC OPS: THE LINE,PS3,77,81,Action,Up to 8 
SPELUNKY,PS3,83,77,Action,
SPLIT/SECOND VELOCITY,PS3,84,80,Driving,Up to 8 
STAR WARS™: THE FORCE UNLEASHED™ II,PS3,63,67,Action,
STAR WARS™: THE FORCE UNLEASHED™: ULTIMATE SITH EDITION,PS3,-1,73,Action,No Online Multiplayer
STARHAWK,PS3,77,78,Action,
STARWHAL,PS3,-1,-1,Action,
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 1,PS3,-1,-1,Miscellaneous,1 Player
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 2,PS3,-1,-1,Miscellaneous,1 Player
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 3,PS3,-1,-1,Miscellaneous,1 Player
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 4,PS3,-1,-1,Miscellaneous,1 Player
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 5,PS3,-1,-1,Miscellaneous,1 Player
SUPER HANG-ON,PS3,-1,80,Driving,
SUPER PUZZLE FIGHTER II TURBO HD REMIX,PS3,82,74,Miscellaneous,Up to 4 
SYBERIA,PS3,50,71,Adventure,
SYBERIA 2,PS3,-1,70,Adventure,
TACHYON PROJECT,PS4,71,60,Action,
TALES OF ZESTIRIA,PS4,72,72,Role-Playing,No Online Multiplayer
TEARAWAY UNFOLDED,PS4,81,80,Action Adventure,
TENNIS IN THE FACE,PS4,68,47,Puzzle,
TERRARIA,PS4,83,73,Action,Up to 8 
TESLAGRAD,PS4,78,67,Action,
TETRAMINOS,PS4,-1,68,Puzzle,No Online Multiplayer
THE BUG BUTCHER,PS4,-1,-1,Action,
THE DWARVES,PS4,60,76,Role-Playing,
THE ELDER SCROLLS ONLINE: TAMRIEL UNLIMITED,PS4,74,76,First-Person,Massively Multiplayer
THE EVIL WITHIN,PS4,75,75,Horror,No Online Multiplayer
THE EVIL WITHIN 2,PS4,76,85,Action Adventure,No Online Multiplayer
THE FINAL STATION,PS4,68,56,Action Adventure,
THE KEEPER OF 4 ELEMENTS,PS4,-1,-1,Strategy,
THE LAST TINKER: CITY OF COLORS,PS4,66,61,Action,
THE METRONOMICON: SLAY THE DANCE FLOOR,PS4,79,69,Action,
THE RAVEN REMASTERED,PS4,72,51,Adventure,No Online Multiplayer
THE SPECTRUM RETREAT,PS4,67,39,Adventure,No Online Multiplayer
THE SURGE,PS4,73,66,Role-Playing,No Online Multiplayer
THE SWAPPER,PS4,83,76,Action,
THE SWINDLE,PS4,73,60,Action,
THE TOWN OF LIGHT,PS4,67,62,Adventure,
THE TREAUSRES OF MONTEZUMA 4,PS4,-1,-1,Puzzle,
THE VANISHING OF ETHAN CARTER,PS4,81,74,Miscellaneous,
THIS WAR OF MINE: THE LITTLE ONES,PS4,78,76,Strategy,
THOMAS WAS ALONE,PS4,-1,65,Action,
TINY TROOPERS JOINT OPS,PS4,65,52,Action,No Online Multiplayer
TITAN QUEST,PS4,55,57,Role-Playing,Up to 6 
TOKI TORI 2+TOKYO XANADU EX+,PS4,75,78,Role-Playing,No Online Multiplayer
TORMENT: TIDES OF NUMENER,PS4,76,70,General,
TOM CLANCY'S RAINBOW SIX SIEGE,PS4,73,73,Modern,Up to 10 
TOUHOU: SCARLET CURIOSITY,PS4,58,68,Role-Playing,
TOUKIDEN 2,PS4,77,75,Role-Playing,Up to 4 
TOUKIDEN: KIWAMI,PS4,74,74,Action,Up to 4 
TOUR DE FRANCE 2017,PS4,58,51,Sports,
TRICKY TOWERS,PS4,72,70,Puzzle,Up to 4 
TRON RUN/R,PS4,64,64,Action,
TROPICO 5,PS4,76,71,Tycoon,Up to 4 
TALES FROM SPACE: ABOUT A BLOB,PS3,76,78,Action,1-2 
TALES FROM SPACE: MUTANT BLOBS ATTACK,PS3,81,80,Action,
THE AWAKENED FATE ULTIMATUM,PS3,65,74,Role-Playing,
THE BOOK OF UNWRITTEN TALES 2,PS3,-1,-1,Adventure,
THE DARKNESS,PS3,80,77,Action,Up to 8 
THE DARKNESS II,PS3,79,78,Action,Up to 4 
THE ELDER SCROLLS IV: OBLIVION,PS3,93,81,Role-Playing,No Online Multiplayer
THE GUIDED FATE PARADOX,PS3,74,78,Role-Playing,No Online Multiplayer
THE HOUSE OF THE DEAD 3,PS3,64,67,Action,1-2 
THE HOUSE OF THE DEAD: OVERKILL EXTENDED CUT,PS3,75,74,Action,No Online Multiplayer
THE KING OF FIGHTERS XIII,PS3,77,82,Action,2 
THE LAST GUY,PS3,77,68,Action Adventure,No Online Multiplayer
THE LAST OF US,PS3,95,91,Modern,Up to 8 
THE LAST OF US: LEFT BEHIND,PS3,88,82,Action Adventure,Up to 8 
THE LEGO MOVIE VIDEOGAME,PS3,80,69,Action Adventure,No Online Multiplayer
THE RAVEN: LEGACY OF A MASTER THIEF,PS3,-1,34,Adventure,
THE SECRET OF MONKEY ISLAND: SPECIAL EDITION,PS3,87,81,Adventure,
THE SLY TRILOGY,PS3,85,88,Action Adventure,No Online Multiplayer
THE WITCH AND THE HUNDRED KNIGHT,PS3,53,74,Role-Playing,No Online Multiplayer
THE WOLF AMONG US,PS3,-1,81,Action Adventure,No Online Multiplayer
TOKYO JUNGLE,PS3,74,81,Action,No Online Multiplayer
TOY HOME,PS3,57,51,Driving,
TOYBOX TURBOS,PS3,78,58,Driving,Up to 4 
TRASH PANIC,PS3,72,68,Miscellaneous,1-2 
TRINE,PS3,83,78,Action,1-3 
TRINITY: SOULS OF ZILL O'LL,PS3,55,78,Role-Playing,
TRON : EVOLUTION,PS3,58,63,Action,
TRUCK RACER,PS3,-1,53,Driving,Up to 4 
TWISTED METAL,PS3,76,78,Simulation,Up to 16 
TWO WORLDS II,PS3,70,69,Role-Playing,Up to 8 
ULTRA STREET FIGHTER IV,PS4,71,62,Action,Up to 8 
ULTRATRON,PS4,-1,61,Action,
UNFINISHED SWAN,PS4,83,74,Action,
UNTIL DAWN,PS4,79,83,Action Adventure,No Online Multiplayer
UNCHARTED 2: AMONG THIEVES,PS3,96,88,Action Adventure,No Online Multiplayer
UNCHARTED 3: DRAKE'S DECEPTION GAME OF THE YEAR EDITION,PS3,92,84,Action Adventure,Up to 10 
UNCHARTED: DRAKE'S FORTUNE,PS3,88,79,Action Adventure,No Online Multiplayer
URBAN TRIAL FREESTYLE,PS3,64,64,Driving,1 Player
VAMPYR,PS4,70,70,Role-Playing,No Online Multiplayer
VALENTINO ROSSI THE GAME,PS4,75,74,Racing,Up to 12 
VEGAS PARTY,PS4,-1,-1,Miscellaneous,No Online Multiplayer
VELOCIBOX,PS4,62,56,Action,
VELOCITY 2X,PS4,86,69,Action,
VICTOR VRAN OVERKILL EDITION,PS4,76,71,Role-Playing,Up to 4 
VIKINGS - WOLVES OF MIDGARD,PS4,67,67,Role-Playing,2 
VELOCITY ULTRA,PS3,-1,70,Action,
VESSEL,PS3,-1,69,Action,
VIRTUA FIGHTER 2,PS3,-1,68,Action,Up to 6 
VIRTUA FIGHTER 5 FINAL SHOWDOWN,PS3,82,62,Action,Up to 8 
WARHAMMER: END TIMES - VERMINTIDE,PS4,73,62,Action,Up to 4 
WARRIORS ALL-STARS,PS4,70,65,Action,No Online Multiplayer
WASTELAND 2: DIRECTOR'S CUT,PS4,80,75,Role-Playing,No Online Multiplayer
WHISPERING WILLOWS,PS4,63,60,Adventure,
WILD ARMS 3,PS2,78,85,Role-Playing,1 Player
WILD GUNS RELOADED,PS4,74,61,Action,
WOLFENSTEIN: THE NEW ORDER,PS4,79,81,General,
WOLFENSTEIN: THE OLD BLOOD,PS4,76,78,Action,No Online Multiplayer
WOLFENSTEIN 2: THE NEW COLOSSUS,PS4,87,72,Action,No Online Multiplayer
WORLD TO THE WEST,PS4,73,57,Action Adventure,
WRC 5 FIA WORLD RALLY CHAMPIONSHIP,PS4,62,62,Racing,Up to 8 
WUPPO,PS4,70,71,Action,No Online Multiplayer
WWE 2K18,PS4,66,54,Sports,Up to 6 
WAKEBOARDING HD,PS3,63,68,Sports,1-2 
WARRIORS OROCHI 3,PS3,70,79,Action,2 
WARRIORS: LEGENDS OF TROY,PS3,44,73,Action,No Online Multiplayer
WET,PS3,70,65,Action,No Online Multiplayer
WHEN VIKINGS ATTACK!,PS3,73,68,Action,
WHITE KNIGHT CHRONICLES,PS3,64,80,Role-Playing,Up to 4 
WHITE KNIGHT CHRONICLES 2,PS3,60,71,Role-Playing,Up to 6 
WOLFENSTEIN: THE NEW ORDER,PS3,-1,71,General,
XCOM 2,PS4,87,73,Strategy,2 
X BLADES,PS3,50,63,Action,No Online Multiplayer
XCOM: ENEMY WITHIN,PS3,88,73,Sci-Fi,2 
YAMAYAMA,PS4,-1,-1,Miscellaneous,Up to 4 
YESTERDAY ORIGINS,PS4,73,61,Adventure,No Online Multiplayer
YAIBA: NINJA GAIDEN Z,PS3,43,44,Horror,
YAKUZA 4,PS3,78,84,Action Adventure,No Online Multiplayer
YAKUZA 5,PS3,83,87,Modern,No Online Multiplayer
ZIGGURAT,PS4,80,70,Action,
ZOMBIE VIKINGS,PS4,64,70,Action,Up to 4 
ZACK ZERO,PS3,60,73,Action,
ZEN PINBALL 2,PS3,86,78,Action,
ZENO CLASH 2,PS3,-1,-1,Action,1 Player
ZOMBIE TYCOON 2 - BRAINHOV'S REVENGE,PS3,63,59,Strategy,
